Company,Job Title,Status,Publishing Date,Salary,Location,Job Description
Rise Technical Recruitment Ltd,Global Test Systems Engineer,Permanent,19/07/2024,As soon as possible,"Cannock, England, United Kingdom","Global Test Systems Engineer £50,000 - £70,000 + International Travel + Progression + Holiday Cannock Are you a Test Engineer who has good experience with LabVIEW, TestStand, and hydraulics systems? On offer is a rare opportunity to work for a world leader in remanufacturing solutions for light - heavy duty vehicles where you will travel the world and work on many projects. Established over 80 years ago, our client serves the global automotive industry from its facilities in the UK, USA, Europe and China, where they have now built up an impressive reputation. They are now looking for someone who wants to utilise their years of experience in a business that offers you the framework for progression to directorship. This position is key to the success of the global R&D team and the postholder will join a team of likeminded individuals who will support the global team face to face and virtually dependent on the nature of the projects. As they have operations across the world in countries such as China & the US, the role will incur travel to these locations and across Europe! As the Global Test Systems Engineer, you can expect to be implementing and maintaining inhouse software & test programs, assist in test equipment design, build, debug and commissioning. The ideal candidate will possess good working knowledge of LabVIEW, Teststand and experience in designing test equipment. The role: * Global Test Systems Engineer * Assist in equipment troubleshooting to reduce downtime and improve FTT * LabVIEW, TestStand, writing or modifying test software and automated tests * Supporting the global R&D team in the implementation and maintenance of all systems * International travel The person: * Working knowledge with LabVIEW, TestStand, and writing test software & automated tests * Happy to travel with work * Has an interest in the industry and wants to progress through to management/directorship for a market leader * Forever looking to self develop Reference Number: BBBH - BBBH224122 To apply for this role or to be considered for further roles, please click \""Apply Now\"" or contact Rise Technical Recruitment. Rise Technical Recruitment Ltd acts an employment agency for permanent roles and an employment business for temporary roles. The salary advertised is the bracket available for this position. The actual salary paid will be dependent on your level of experience, qualifications and skill set. We are an equal opportunities employer and welcome applications from all suitable candidates."
BAE Systems,Component Systems Engineer,Permanent,19/07/2024,As soon as possible,"Rochester, England, United Kingdom","Job Title: Component Systems Engineer Location: Rochester, Kent. We offer a range of hybrid and flexible working arrangements - please speak to your recruiter about the options for this role. Salary: £40,000 - £45,000 depending on skills and experience What you'll be doing: Developing the skills and knowledge to become a subject matter expert in our ERP system to support the needs the Manufacturing Engineers in Operations Supporting New Product Introduction and the incorporation of changes by managing the transfer of advanced parts lists, BOMs and ECNs between Engineering and Manufacturing Reviewing and editing component and part settings within the ERP system to ensure the smooth running of Manufacturing Operations Investigating variations between drawings / technical data sheets and delivered parts, particularly for electronic components and consumables Supporting major Digital Transformation programmes across our ERP, MES and PDM systems by developing / defining processes, cleansing data, performing user testing, and providing training Generally supporting activities in the Manufacturing Systems team such as generating custom reports / dashboards, providing governance to cyber security requirements, and integrating advanced manufacturing technologies Your skills and experiences: Essential: A desire to learn and an interest in becoming a subject matter expert A good understanding of the relationship between Engineering data, Manufacturing data, data configuration and change control Experience in Manufacturing and working knowledge of Manufacturing Systems (ERP / MES) Desirable: Experience working with ORACLE ERP and Siemens TeamCenter PDM systems Ability to understand electronic component data sheets Knowledge of RoHS and REACH Benefits: You'll receive benefits including a competitive pension scheme, enhanced annual leave allowance and a Company contributed Share Incentive Plan. You'll also have access to additional benefits such as flexible working, an employee assistance programme, Cycle2work and employee discounts - you may also be eligible for an annual incentive. The Manufacturing Systems team: As a Manufacturing Systems Engineer, you will be pivotal in linking Engineering, Manufacturing, Information Management Technology (IMT) and Operational Technology (OT). Working closely with stakeholders across Manufacturing you will drive a data driven culture and optimise the user experience across our applications to bring business benefits. With major IT programmes currently running to upgrade our PDM, MES & ERP systems, now is a great time to develop your career as a key member of the Rochester Manufacturing Systems Engineering team. Why BAE Systems? This is a place where you'll be able to make a real difference. You'll be part of an inclusive culture that values diversity, rewards integrity, and merit, and where you'll be empowered to fulfil your potential. We welcome candidates from all backgrounds and particularly from sections of the community who are currently underrepresented within our industry, including women, ethnic minorities, people with disabilities and LGBTQ+ individuals. We also want to make sure that our recruitment processes are as inclusive as possible. If you have a disability or health condition (for example dyslexia, autism, an anxiety disorder etc.) that may affect your performance in certain assessment types, please speak to your recruiter about potential reasonable adjustments. Please be aware that many roles working for BAE Systems will be subject to both security and export control restrictions. These restrictions mean that factors including your nationality, any previous nationalities you have held, and your place of birth may limit those roles you can perform for the organisation. Closing Date: 2nd August 2024 We reserve the right to close this vacancy early if we receive sufficient applications for the role. Therefore, if you are interested, please submit your application as early as possible. #LI-SH1 #LI-Hybrid"
Rise Technical Recruitment Ltd,Desktop Support Engineer,Permanent,19/07/2024,As soon as possible,"London, England, United Kingdom","Desktop Support Engineer London - Office based £30,000 - £40,000 + Private Healthcare, Holiday, Pension, Progression, Life Assurance This is an excellent opportunity for a highly motivated Desktop Support Engineer to join a globally recognised company in a highly varied and technical role offering excellent routes for career progression. The company is made up of a group of household brands in the manufacturing industry who have been established for over 100 years. They pride themselves on looking after their employees and are continuously striving to improve their company culture. In this role you will act as the primary technical IT point of contact to support deskside technology to all users across the business. You will perform analysis, diagnosis and resolution of IT issues for end users and install, test and maintain user and network hardware, peripheral devices and other software within the business. The ideal candidate will have proven experience in a similar role and experience supporting C-Suite / Senior Management in a business. You will have good knowledge of O365, Active Directory, AV Technology, IT Hardware and troubleshooting technical issues. Ideally, you'll also ideally hold a full UK Driving License, but this is flexible for the right candidate. This is a fantastic opportunity for a talented Desktop Support Engineer to join a global company in a highly varied and autonomous role offering excellent benefits and personal development opportunities. The Role: *Act as the IT point of contact to support deskside technology to all users across the business *Perform analysis, diagnosis and resolution of IT issues for end users *Install, test and maintain user and network hardware, peripheral devices and other IT Software *Based in London office with occasional travel to other sites The Person: *Proven experience in a similar role and experience supporting C-Suite / Senior Management in a business *Good knowledge of O365, AD, AV Technology, IT Hardware and troubleshooting technical issues *Ideally hold a full UK Driving License *Must be commutable to London Reference Number: BBBH225076 To apply for this role or for to be considered for further roles, please click \""Apply Now\"" or contact Ryan McIntyre at Rise Technical Recruitment. This vacancy is being advertised by Rise Technical Recruitment Ltd. The services of Rise Technical Recruitment Ltd are that of an Employment Agency. Rise Technical Recruitment Ltd regrets to inform that our client can only accept applications from engineering candidates who have a valid legal permit or right to work in the United Kingdom. Potential candidates who do not have this right or permit or are pending an application to obtain this right or permit should not apply as your details will not be processed."
Huxley,1st Line Risk Specialist - 1LoD,Freelance,18/07/2024,As soon as possible,"London, England, United Kingdom","1st Line Risk Specialist - 1LoD Location: London (Central Office) Contract Duration: 6-month contract initially, with extensions offered for other internal projects IR35 Determination: Inside Work Arrangement: Hybrid (2-3 days in office) My client is a Global Asset and Investment Manager experiencing dramatic growth through strategic acquisitions. They are committed to maintaining the highest standards of compliance and regulatory practices as they expand their footprint. They are hiring a proactive and solutions-oriented First Line Risk and Controls Specialist to support the business with documentation, CISK, and compliance activities. This role involves working closely with the Compliance SME, building policies with the business, and effectively implementing controls and governance outputs. The successful candidate will assist the Chief Risk Officer (CRO) in rolling out risk assessments and will be instrumental in remediation work, shadowing the CRO and business to identify and resolve risks. Key Responsibilities: - Support the business with documentation, CISK (Control Identification and Specification Knowledge), and compliance activities. - Collaborate with compliance generalists to build and implement policies with the business. - Develop solutions for creating and implementing controls and governance outputs. - Assist the CRO in rolling out risk assessments for the business. - Act as a resource for remediation work, following up on identified risks and resolving issues. - Shadow the CRO and business units to understand and identify risks. - Implement successful frameworks and ensure their effective application within the business. - Provide expertise in risk and regulatory change, particularly in SMCR (Senior Managers and Certification Regime) implementations and consumer duty. Qualifications: - Strong background in risk management and regulatory change. - Experience with SMCR implementations and consumer duty. - Proven ability to support business units with risk documentation and compliance tasks. - Familiarity with CISK and the ability to build and implement policies. - Demonstrated success in implementing, but not necessarily building, frameworks. - Proven track record of managing risk in the first line of defence (1LoD). - Excellent problem-solving skills and the ability to develop practical solutions. - Clear communicator who can converse with all levels of stakeholder throughout the business - Experience within asset and investment management organisations. What We Offer: - Competitive Day Rate (discussed on CV review). - Opportunity to work with a global leader in asset and investment management. - Flexible hybrid working arrangements (2-3 days in office). - Supportive and collaborative work environment. - Potential for contract extensions and involvement in other internal projects. Interviews will be taking place from Thursday 25th July, with successful candidates wanted to start no later than 2nd September. If you think you're suitable for the role, please apply and submit an up-to-date CV. My client is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, colour, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status. Please click here to find out more about our Key Information Documents. Please note that the documents provided contain generic information. If we are successful in finding you an assignment, you will receive a Key Information Document which will be specific to the vendor set-up you have chosen and your placement. To find out more about Huxley, please visit XX XX XX XX XX Huxley, a trading division of SThree Partnership LLP is acting as an Employment Business in relation to this vacancy | Registered office | 1st Floor, 75 King William Street, London, EC4N 7BE, United Kingdom | Partnership Number | OC387148 England and Wales"
Huxley,Data Scientist,Freelance,18/07/2024,As soon as possible,"London, England, United Kingdom","Data Analyst/Scientist Location: London (Central Office) Contract Duration: 6-month contract initially, with extensions offered for other internal projects IR35 Determination: Inside Work Arrangement: Hybrid (2-3 days in office) My client is a Global Asset and Investment Manager experiencing dramatic growth through strategic acquisitions. They are committed to maintaining the highest standards of compliance and regulatory practices as they expand their footprint. They are looking for a Data Analyst/Scientist who will be responsible for handling GDPR and FCA requests, supporting the regulatory council with various tasks, and processing data. The ideal candidate will perform data entry and analytics, contributing to the efficiency and effectiveness of our operations. This role is ideal for someone who is eager to delve into the data field and expand their skillset. Key Responsibilities: - Handle data input and processing tasks efficiently and accurately. - Manage GDPR and FCA requests, ensuring compliance with regulatory requirements. - Support the regulatory council with data-related requests and administrative tasks. - Perform data entry and maintain data integrity across various systems. - Conduct basic data analytics to support decision-making and improve processes. - Identify opportunities for process improvements and contribute to their implementation. - Collaborate with other team members to ensure seamless data operations. Qualifications: - Prior experience in data entry, data processing, or a related field. - Familiarity with GDPR and FCA regulations and requirements is a plus. - Basic understanding of data analytics and the willingness to learn more advanced techniques. - Proficiency in Microsoft Office Suite, particularly Excel, and familiarity with data management software. - Strong attention to detail and accuracy in data handling. - Excellent organisational and time management skills. - A proactive and eager attitude towards learning and professional development. There will be opportunity to grow and develop your skillset across different projects. What We Offer: - Competitive Day Rate (discussed on CV review). - Opportunity to work with a global leader in asset and investment management. - Flexible hybrid working arrangements (2-3 days in office). - Supportive and collaborative work environment. - Potential for contract extensions and involvement in other internal projects. Interviews will be taking place from Thursday 25th July, with successful candidates wanted to start no later than 2nd September. If you think you're suitable for the role, please apply and submit an up-to-date CV. My client is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, colour, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status. Please click here to find out more about our Key Information Documents. Please note that the documents provided contain generic information. If we are successful in finding you an assignment, you will receive a Key Information Document which will be specific to the vendor set-up you have chosen and your placement. To find out more about Huxley, please visit XX XX XX XX XX Huxley, a trading division of SThree Partnership LLP is acting as an Employment Business in relation to this vacancy | Registered office | 1st Floor, 75 King William Street, London, EC4N 7BE, United Kingdom | Partnership Number | OC387148 England and Wales"
Huxley,"Regulation, FinCrime & Compliance Specialist",Freelance,18/07/2024,As soon as possible,"London, England, United Kingdom","Regulatory/FinCrime/Compliance SME Location: London (Central Office) Contract Duration: 6-month contract initially, with extensions offered for other internal projects IR35 Determination: Inside Work Arrangement: Hybrid (2-3 days in office) My client is a Global Asset and Investment Manager experiencing dramatic growth through strategic acquisitions. They are committed to maintaining the highest standards of compliance and regulatory practices as they expand their footprint. They are seeking a highly experienced Regulatory/FinCrime/Compliance SME Contractor, who can hit the ground running and deliver exceptional results in systems and control. The ideal candidate will have strong expertise in AML, Client Management, Consumer Duty, and other regulatory/compliance areas, with over 10 years of experience in compliance and process review. Key Responsibilities: - Provide expert compliance advice and process review services to clients. - Implement and enhance systems and controls to ensure regulatory compliance. - Specialise in Anti-Money Laundering (AML) processes, client management, consumer duty regulations, and other regulatory/compliance areas. - Manage compliance and regulatory projects within large wealth management and investment management businesses. Qualifications: - Minimum of 10 years of experience in compliance and regulatory roles within Financial Services organisations. - Proven track record as a compliance SME capable of delivering results quickly. - Extensive experience with systems and control implementation. - Strong expertise in AML, Client Management, Consumer Duty, and other regulatory/compliance areas. - Prior experience with wealth management and investment management businesses. - Preferably have experience working with UK and US entities. - Excellent process review and advisory skills. What We Offer: - Competitive Day Rate (discussed on CV review). - Opportunity to work with a global leader in asset and investment management. - Flexible hybrid working arrangements (2-3 days in office). - Supportive and collaborative work environment. - Potential for contract extensions and involvement in other internal projects. Interviews will be taking place from Thursday 25th July, with successful candidates wanted to start no later than 2nd September. If you think you're suitable for the role, please apply and submit an up-to-date CV. My client is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, colour, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status. Please click here to find out more about our Key Information Documents. Please note that the documents provided contain generic information. If we are successful in finding you an assignment, you will receive a Key Information Document which will be specific to the vendor set-up you have chosen and your placement. To find out more about Huxley, please visit XX XX XX XX XX Huxley, a trading division of SThree Partnership LLP is acting as an Employment Business in relation to this vacancy | Registered office | 1st Floor, 75 King William Street, London, EC4N 7BE, United Kingdom | Partnership Number | OC387148 England and Wales"
IC Resources,Embedded Engineer,Permanent,18/07/2024,£45k-55k,"Tewkesbury, England, United Kingdom","Exciting opportunity in Tewkesbury for an Embedded Software Engineer to join well established market leader with exciting new projects. Applicants need to have a relevant degree and proven experience with either C/C++ in an embedded environment, or with VHDL. You should also have SOME of the following skills: Development experience under Linux in an embedded environment Development experience on Zynq/Zynq Ultrascale+ FPGA SoCs Experience with Xilinx Petalinux and/or Yocto Real-time embedded development and debug experience OpenCPI Linux driver development experience Experience with ethernet communications, (particularly at higher rates 10G/40G/100G) Python/Shell scripting Experience of a lab environment and how to use common electronic and RF test equipment; Experience with version control systems such as Git Experience in reading and working from hardware schematics Knowledge of DSP or wireless communication systems Development of applications under Android The successful candidate will be actively involved in the full product development process and will need to be comfortable working hands-on with hardware, with complex systems with multiple embedded processing elements; often working hand-in-hand with hardware engineers debugging PCBs that have been designed in-house. Candidates need to be able to work and research independently, frequently requiring reading and understanding large complex datasheets to be able to implement embedded software effectively. Due to the nature of our clients work you should also be eligible to gain UK Security clearance (SC). Super salary and hybrid working. Please send your CV to Emma Windows at IC Resources or call me for more details."
IC Resources,Digital ASIC Design Engineer,Permanent,18/07/2024,£40k-80k,"Cork, Ireland","This is a superb opportunity for a Digital ASIC Design Engineer to build their career within one of the world’s leading Semiconductor IP companies based in Cork, Ireland. Reporting into the Digital IC Director, the Digital ASIC Design Engineer will join this rapidly expanding team working at the very forefront of technology, developing standards that the world will see in years to come. The Digital ASIC Design Engineer will focus predominantly on RTL design (Verilog) and Verification for the latest serial controllers, and will have a key role in the development of leading-edge IP for a wide variety of market areas. Excellent training and development opportunities are on offer, together with a very competitive package. The successful Digital ASIC Design Engineer will have: Prior industry experience working within Digital IC/ASIC/SoC Design Expertise in RTL coding using Verilog Experience of metric driven verification Excellent communication skills in English For further details or to apply, please contact Caroline Pye"
IC Resources,Firmware Team Leader,Permanent,18/07/2024,£60k-70k,United Kingdom,"Lead Firmware Engineer now needed for an award winning company based near Cardiff. Super opportunity for a proven Lead Firmware Engineer or for a Senior with mentoring skills looking for progression. Applicants for the Lead Firmware Engineer role should have the following hands on technical skills: Strong knowledge of C language programming for embedded platforms (ARM, RTOS, Linux) experience in conducting source code review and deploying formal coding standards Strong analytical skills to identify bug root causes & identify potential solutions experienced in performance tuning & debugging on embedded devices experience using version control systems (Git) detail oriented and shows commitment to improving working practices and software quality familiar with the use of continuous integration (CI) techniques for automated software build Has good understanding of the software development lifecycle Is experienced in managing small teams of engineers & running one to ones etc Familiar with project management tools such as GANTT charts Any knowledge of the following would also be helpful: Familiarity with the Ambarella platform (A12, H22) Experience in tuning Wi-Fi / Bluetooth stack of a Linux system Experience in developing embedded devices which have connected companion apps Has basic knowledge of web technologies like JSON, HTML These technical skills should be combined with some experience of leading/managing/mentoring a team. Great salary and hybrid working available. Please send your Cv to Emma Windows."
Huxley,Recruitment Delivery Manager,Permanent,18/07/2024,As soon as possible,"London, England, United Kingdom","Service Delivery Manager supporting recruitment solutions. This is a brilliant new opportunity for a Service delivery manager with experience of supporting recruitment projects and recruitment projects to join a thriving FTSE 250 Business You will have High client engagement, oversight of a solution for a business and own the project delivery. Role details Recruitment Service Delivery Manager London (Hybrid - 3 days in office / 2 days home) Salary £40,000- £50,000 Basic Salary + 20% Bonus Excellent Company Benefits High client engagement, oversight of all project delivery milestones Requirements: must have experience Managing the project service delivery within recruitment businesses Salary £40- £50k + 20% commission- this is absolutely set. 3 days in the London office and 2 days at home This role is focused on the below. Client focused. Project delivery focused- (budget, rigor, governance) Delivery management Partnering with the client to set up resource planning, getting all governance and process in place. Governance- report logs, issue logs, milestone monitoring, suggesting improvements. This is a really interesting role which will combine your client skills. Your governance skills and your project skills For more information, and the chance to be considered, please do send through a CV To find out more about Huxley, please visit XX XX XX XX XX Huxley, a trading division of SThree Partnership LLP is acting as an Employment Business in relation to this vacancy | Registered office | 1st Floor, 75 King William Street, London, EC4N 7BE, United Kingdom | Partnership Number | OC387148 England and Wales"
